source_path,target_name,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,title_slug
/mnt/k/NHL23/Stats/2026-05-01_19-56-50.mp4,NHL_23__JoeyFlopfish__6s__all_skaters.mp4,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_19-57-56.mp4,NHL_23__JoeyFlopfish__6s__center.mp4,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_19-58-28.mp4,NHL_23__JoeyFlopfish__6s__leftWing.mp4,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-03-09.mp4,NHL_23__JoeyFlopfish__6s__rightWing.mp4,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-03-37.mp4,NHL_23__JoeyFlopfish__6s__defenseMen.mp4,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-04-05.mp4,NHL_23__JoeyFlopfish__6s__goalie.mp4,JoeyFlopfish,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-04-31.mp4,NHL_23__JoeyFlopfish__3s__all_skaters.mp4,JoeyFlopfish,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-04-59.mp4,NHL_23__JoeyFlopfish__3s__center.mp4,JoeyFlopfish,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-05-31.mp4,NHL_23__JoeyFlopfish__3s__wing.mp4,JoeyFlopfish,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-06-18.mp4,NHL_23__JoeyFlopfish__3s__defenseMen.mp4,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-06-52.mp4,NHL_23__JoeyFlopfish__3s__goalie.mp4,JoeyFlopfish,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-13-11.mp4,NHL_23__silkyjoker85__6s__all_skaters.mp4,silkyjoker85,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-13-40.mp4,NHL_23__silkyjoker85__6s__center.mp4,silkyjoker85,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-14-26.mp4,NHL_23__silkyjoker85__6s__rightWing.mp4,silkyjoker85,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-14-56.mp4,NHL_23__silkyjoker85__6s__defenseMen.mp4,silkyjoker85,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-15-22.mp4,NHL_23__silkyjoker85__6s__goalie.mp4,silkyjoker85,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-15-44.mp4,NHL_23__silkyjoker85__3s__all_skaters.mp4,silkyjoker85,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-17-02.mp4,NHL_23__silkyjoker85__3s__center.mp4,silkyjoker85,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-17-32.mp4,NHL_23__silkyjoker85__3s__wing.mp4,silkyjoker85,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-18-05.mp4,NHL_23__silkyjoker85__3s__defenseMen.mp4,silkyjoker85,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-18-49.mp4,NHL_23__silkyjoker85__3s__goalie.mp4,silkyjoker85,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-20-03.mp4,NHL_23__HenryTheBobJ__6s__all_skaters.mp4,HenryTheBobJ,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-20-34.mp4,NHL_23__HenryTheBobJ__6s__leftWing.mp4,HenryTheBobJ,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-21-12.mp4,NHL_23__HenryTheBobJ__6s__defenseMen.mp4,HenryTheBobJ,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-21-53.mp4,NHL_23__HenryTheBobJ__3s__all_skaters.mp4,HenryTheBobJ,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-22-30.mp4,NHL_23__HenryTheBobJ__3s__defenseMen.mp4,HenryTheBobJ,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-23-14.mp4,NHL_23__StickMenace__6s__all_skaters.mp4,StickMenace,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-24-00.mp4,NHL_23__StickMenace__6s__center.mp4,StickMenace,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-25-00.mp4,NHL_23__StickMenace__6s__leftWing.mp4,StickMenace,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-25-39.mp4,NHL_23__StickMenace__6s__defenseMen.mp4,StickMenace,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-26-13.mp4,NHL_23__StickMenace__6s__goalie.mp4,StickMenace,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-26-39.mp4,NHL_23__StickMenace__3s__all_skaters.mp4,StickMenace,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-27-17.mp4,NHL_23__StickMenace__3s__center.mp4,StickMenace,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-27-49.mp4,NHL_23__StickMenace__3s__wing.mp4,StickMenace,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-28-23.mp4,NHL_23__StickMenace__3s__goalie.mp4,StickMenace,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-29-51.mp4,NHL_23__Flopfish8015__3s__goalie.mp4,Flopfish8015,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-30-13.mp4,NHL_23__Flopfish8015__3s__center.mp4,Flopfish8015,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-32-27.mp4,NHL_23__AwesomeLion__6s__all_skaters.mp4,AwesomeLion,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-33-03.mp4,NHL_23__AwesomeLion__6s__leftWing.mp4,AwesomeLion,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-33-50.mp4,NHL_23__AwesomeLion__3s__goalie.mp4,AwesomeLion,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl23
/mnt/k/NHL23/Stats/2026-05-01_20-34-28.mp4,NHL_23__MrHomiecide__3s__wing.mp4,MrHomiecide,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl23
