title_slug,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,asset_path
nhl23,AwesomeLion,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,/mnt/k/NHL23/Stats/NHL_23__AwesomeLion__3s__goalie.mp4
nhl23,AwesomeLion,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL23/Stats/NHL_23__AwesomeLion__6s__all_skaters.mp4
nhl23,AwesomeLion,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL23/Stats/NHL_23__AwesomeLion__6s__leftWing.mp4
nhl23,Flopfish8015,3s,center,skater,SEASONS EASHL 3V3,CENTER,/mnt/k/NHL23/Stats/NHL_23__Flopfish8015__3s__center.mp4
nhl23,Flopfish8015,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,/mnt/k/NHL23/Stats/NHL_23__Flopfish8015__3s__goalie.mp4
nhl23,HenryTheBobJ,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,/mnt/k/NHL23/Stats/NHL_23__HenryTheBobJ__3s__all_skaters.mp4
nhl23,HenryTheBobJ,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,/mnt/k/NHL23/Stats/NHL_23__HenryTheBobJ__3s__defenseMen.mp4
nhl23,HenryTheBobJ,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL23/Stats/NHL_23__HenryTheBobJ__6s__all_skaters.mp4
nhl23,HenryTheBobJ,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL23/Stats/NHL_23__HenryTheBobJ__6s__defenseMen.mp4
nhl23,HenryTheBobJ,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL23/Stats/NHL_23__HenryTheBobJ__6s__leftWing.mp4
nhl23,JoeyFlopfish,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,/mnt/k/NHL23/Stats/NHL_23__JoeyFlopfish__3s__all_skaters.mp4
