source_path,target_name,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,title_slug
/mnt/k/NHL22/Stats/2026-05-02_00-12-50.mp4,NHL_22__JoeyFlopfish__6s__all_skaters.mp4,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-13-20.mp4,NHL_22__JoeyFlopfish__6s__center.mp4,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-13-47.mp4,NHL_22__JoeyFlopfish__6s__leftWing.mp4,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-14-31.mp4,NHL_22__JoeyFlopfish__6s__rightWing.mp4,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-14-56.mp4,NHL_22__JoeyFlopfish__6s__defenseMen.mp4,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-15-22.mp4,NHL_22__JoeyFlopfish__6s__goalie.mp4,JoeyFlopfish,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-15-47.mp4,NHL_22__JoeyFlopfish__3s__all_skaters.mp4,JoeyFlopfish,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-16-22.mp4,NHL_22__JoeyFlopfish__3s__center.mp4,JoeyFlopfish,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-19-50.mp4,NHL_22__JoeyFlopfish__3s__wing.mp4,JoeyFlopfish,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-20-43.mp4,NHL_22__JoeyFlopfish__3s__defenseMen.mp4,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-23-12.mp4,NHL_22__JoeyFlopfish__3s__goalie.mp4,JoeyFlopfish,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-41-18.mp4,NHL_22__HenryTheBobJr__6s__all_skaters.mp4,HenryTheBobJr,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-49-26.mp4,NHL_22__HenryTheBobJr__6s__defenseMen.mp4,HenryTheBobJr,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-50-07.mp4,NHL_22__HenryTheBobJr__3s__all_skaters.mp4,HenryTheBobJr,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-50-38.mp4,NHL_22__HenryTheBobJr__3s__defenseMen.mp4,HenryTheBobJr,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-54-38.mp4,NHL_22__silkyjoker85__6s__all_skaters.mp4,silkyjoker85,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-55-07.mp4,NHL_22__silkyjoker85__6s__rightWing.mp4,silkyjoker85,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-55-39.mp4,NHL_22__silkyjoker85__6s__goalie.mp4,silkyjoker85,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-57-01.mp4,NHL_22__silkyjoker85__3s__all_skaters.mp4,silkyjoker85,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-57-58.mp4,NHL_22__silkyjoker85__3s__wing.mp4,silkyjoker85,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-58-22.mp4,NHL_22__silkyjoker85__3s__goalie.mp4,silkyjoker85,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_00-59-33.mp4,NHL_22__StickMenace__6s__all_skaters.mp4,StickMenace,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-00-08.mp4,NHL_22__StickMenace__6s__center.mp4,StickMenace,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-00-35.mp4,NHL_22__StickMenace__6s__leftWing.mp4,StickMenace,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-01-03.mp4,NHL_22__StickMenace__6s__rightWing.mp4,StickMenace,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-01-31.mp4,NHL_22__StickMenace__6s__defenseMen.mp4,StickMenace,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-01-54.mp4,NHL_22__StickMenace__6s__goalie.mp4,StickMenace,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-02-30.mp4,NHL_22__StickMenace__3s__all_skaters.mp4,StickMenace,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-04-20.mp4,NHL_22__StickMenace__3s__center.mp4,StickMenace,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-05-47.mp4,NHL_22__StickMenace__3s__goalie.mp4,StickMenace,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-06-50.mp4,NHL_22__camrazz__6s__all_skaters.mp4,camrazz,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl22
/mnt/k/NHL22/Stats/2026-05-02_01-07-14.mp4,NHL_22__camrazz__6s__center.mp4,camrazz,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl22
