source_path,target_name,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,title_slug
/mnt/k/NHL25/Stats/2026-05-01_19-09-05.mp4,NHL_25__silkyjoker85__3s__center.mp4,silkyjoker85,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-09-41.mp4,NHL_25__silkyjoker85__3s__wing.mp4,silkyjoker85,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-10-36.mp4,NHL_25__silkyjoker85__6s__all_skaters.mp4,silkyjoker85,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-11-03.mp4,NHL_25__silkyjoker85__6s__center.mp4,silkyjoker85,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-11-40.mp4,NHL_25__silkyjoker85__6s__rightWing.mp4,silkyjoker85,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-12-21.mp4,NHL_25__silkyjoker85__6s__defenseMen.mp4,silkyjoker85,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-13-30.mp4,NHL_25__silkyjoker85__6s__goalie.mp4,silkyjoker85,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-15-58.mp4,NHL_25__JoeyFlopfish__3s__defenseMen.mp4,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-17-04.mp4,NHL_25__JoeyFlopfish__6s__all_skaters.mp4,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-17-40.mp4,NHL_25__JoeyFlopfish__6s__center.mp4,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-19-22.mp4,NHL_25__JoeyFlopfish__6s__leftWing.mp4,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-19-54.mp4,NHL_25__JoeyFlopfish__6s__rightWing.mp4,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-35-55.mp4,NHL_25__JoeyFlopfish__6s__defenseMen.mp4,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-36-36.mp4,NHL_25__HenryTheBobJ__3s__defenseMen.mp4,HenryTheBobJ,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-37-16.mp4,NHL_25__HenryTheBobJ__6s__all_skaters.mp4,HenryTheBobJ,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-38-01.mp4,NHL_25__HenryTheBobJ__6s__defenseMen.mp4,HenryTheBobJ,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-38-25.mp4,NHL_25__HenryTheBobJ__6s__goalie.mp4,HenryTheBobJ,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-38-59.mp4,NHL_25__camrazz__3s__wing.mp4,camrazz,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-39-28.mp4,NHL_25__camrazz__6s__all_skaters.mp4,camrazz,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-41-41.mp4,NHL_25__camrazz__6s__center.mp4,camrazz,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-42-16.mp4,NHL_25__camrazz__6s__leftWing.mp4,camrazz,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl25
/mnt/k/NHL25/Stats/2026-05-01_19-42-47.mp4,NHL_25__camrazz__6s__rightWing.mp4,camrazz,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl25
