title_slug,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,asset_path
nhl22,Flopfish8015,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL22/Stats/NHL_22__Flopfish8015__6s__defenseMen.mp4
nhl22,HenryTheBobJr,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__HenryTheBobJr__3s__all_skaters.mp4
nhl22,HenryTheBobJr,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,/mnt/k/NHL22/Stats/NHL_22__HenryTheBobJr__3s__defenseMen.mp4
nhl22,HenryTheBobJr,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__HenryTheBobJr__6s__all_skaters.mp4
nhl22,HenryTheBobJr,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL22/Stats/NHL_22__HenryTheBobJr__6s__defenseMen.mp4
nhl22,JoeyFlopfish,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__3s__all_skaters.mp4
nhl22,JoeyFlopfish,3s,center,skater,SEASONS EASHL 3V3,CENTER,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__3s__center.mp4
nhl22,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__3s__defenseMen.mp4
nhl22,JoeyFlopfish,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__3s__goalie.mp4
nhl22,JoeyFlopfish,3s,wing,skater,SEASONS EASHL 3V3,WING,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__3s__wing.mp4
nhl22,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__all_skaters.mp4
nhl22,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__center.mp4
nhl22,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__defenseMen.mp4
nhl22,JoeyFlopfish,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__goalie.mp4
nhl22,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__leftWing.mp4
nhl22,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL22/Stats/NHL_22__JoeyFlopfish__6s__rightWing.mp4
nhl22,MrHomiecide,3s,wing,skater,SEASONS EASHL 3V3,WING,/mnt/k/NHL22/Stats/NHL_22__MrHomiecide__3s__wing.mp4
nhl22,MrHomiecide,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__MrHomiecide__6s__all_skaters.mp4
nhl22,MrHomiecide,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL22/Stats/NHL_22__MrHomiecide__6s__center.mp4
nhl22,MrHomiecide,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL22/Stats/NHL_22__MrHomiecide__6s__leftWing.mp4
nhl22,MrHomiecide,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL22/Stats/NHL_22__MrHomiecide__6s__rightWing.mp4
nhl22,StickMenace,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__StickMenace__3s__all_skaters.mp4
nhl22,StickMenace,3s,center,skater,SEASONS EASHL 3V3,CENTER,/mnt/k/NHL22/Stats/NHL_22__StickMenace__3s__center.mp4
nhl22,StickMenace,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,/mnt/k/NHL22/Stats/NHL_22__StickMenace__3s__goalie.mp4
nhl22,StickMenace,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL22/Stats/NHL_22__StickMenace__6s__all_skaters.mp4
nhl22,StickMenace,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL22/Stats/NHL_22__StickMenace__6s__center.mp4
